German,English
tot,dead
sollen,should
ganze,whole
andere,other
getan,done
okay,ok
rein,pure
Diese,These
Moment,Moment
bleiben,stay
brauchen,need
Weil,Because
Kinder,Children
unter,under
Arbeit,Work
Für,For
Problem,Problem
dafür,instead
Herr,Lord
Haben,Have
wegen,because of
geht's,Let's go
liebe,love
genug,enough
dabei,thereby
bringen,bring
Ihre,Her
'ne,'ne
gegen,against
Weißt,You know
Sag,Tell
schnell,fast
nun,now
eines,A
brauche,Need
Abend,Evening
hatten,Had
Jahre,Years
Mach,Mach
Bruder,Brother
Sache,Matter
hören,hear
komm,come
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,Is
Scheiße,Shit
mag,likes
sei,may be
unser,our
konnte,could
habt,Have
Oder,Or
einmal,once
heißt,that is
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Go
Baby,Baby
Dich,You
Sind,Are
erst,first
fertig,ready
gefunden,found
seid,are
kam,Came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,right away
Kann,Can
Hat,Has
Jahren,Years
Kind,Child
seinen,His
Genau,Exactly
daran,at it
Junge,Boy
Minuten,Minutes
bevor,before
Stadt,City
beim,by the
sterben,die
warst,Were
Recht,Right
glauben,believe
Warte,Wait
darüber,over it
deiner,yours
deinem,Your
Ende,End
He,He
Dinge,Things
Namen,Names
wahr,TRUE
Alle,All
allein,alone
Natürlich,Of course
töten,kill
Nichts,Nothing
Wirklich,Real
bekommen,get
Männer,Men
vergessen,forget
Doch,Nevertheless
dazu,thereto
gab,gave
später,later
wusste,Knew
Augen,Eyes
Dank,Thanks
Freunde,Friends
Jungs,Guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,Good
Dein,Your
kennen,know
Deine,Your
'n,'n
Hi,Hi
Dr,Dr
Auto,Car
sage,legend
gehe,go
komme,Come
Dir,You
mache,Make
Von,From
Uhr,Clock
sehe,See
Teufel,Devil
sonst,otherwise
Art,Kind
gern,willingly
Liebe,Love
jeden,Every
könnten,could
ihren,Your
Halt,Stop
Fall,Case
Dad,Dad
Film,Movie
bisschen,bit
eigentlich,actually
weit,far
mach,Mach
Gib,Give
vorbei,over
verstehe,Understand
danke,thank you
drin,inside
Im,In
Name,Name
ganzen,Whole
Musik,Music
würden,Would
Tür,Door
verrückt,crazy
solltest,Should
denken,think
Noch,Still
dran,Off
Sieh,See
lieber,rather
Den,The
leben,life
Guten,Good
Um,At
darauf,thereupon
Kein,No
stimmt,Agrees
Kerl,Guy
letzte,last
Job,Job
verloren,lost
wurden,Were
kenne,Know
Ahnung,Hunch
seiner,his
Grund,Reason
toll,terrific
Bis,Until
Verdammt,Damn
bald,soon
bereit,ready
all,all
jemanden,Someone
hinter,behind
Schon,Already
Sehr,Very much
Hand,Hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,Idea
runter,down
Macht,Power
draußen,outside
lang,long
Land,Land
lass,Let
Typ,Type
hätten,Had
egal,all the same
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Good
gekommen,Come
Bei,At
etwa,about
essen,eat
kleine,peewee
jeder,every
Schwester,Sister
Wasser,Water
spielen,play
Geschichte,History
seinem,His
liegt,lies
sah,saw
Mom,Mom
Seite,Side
wenig,little
ruhig,quiet
Frage,Question
meinst,Did
überhaupt,at all
fahren,drive
Ganz,Whole
Gehen,Go
Essen,Eat
Ruhe,Be quiet
echt,genuine
versucht,attempted
Tochter,Daughter
Kommt,Comes
Einen,A
ging,walked
Jahr,Year
braucht,Needs
fast,almost
neue,new
geh,Go
ziemlich,quite
anders,differently
siehst,See
Polizei,Police
Stunden,Hours
musste,Had
Spiel,Game
gewesen,former
gerne,you're welcome
finde,Find
erzählt,narrated
Tod,Death
Ort,Place
Chance,Chance
bedeutet,signifies
War,Was
sag,Tell
sagst,Say
fragen,ask
letzten,Last
sogar,even
ersten,First
Sachen,Things
Wahrheit,Truth
einzige,only
kurz,short
denen,whom
Kommen,Come
Spaß,Fun
Nach,After
oben,above
Mama,Mom
schwer,heavy
Schule,School
je,ever
eben,level
Gesicht,Face
bestimmt,certain
treffen,meeting
niemand,nobody
Woche,Week
Entschuldigung,Excuse me
Sorgen,Worry
warte,Wait
natürlich,of course
schlecht,bad
große,Large
getötet,killed
verstehen,understand
hoffe,Hope
Ah,Ah
Sei,May be
Zimmer,Room
hoch,high
unserer,ours
Tage,Days
Teil,Part
Wann,When
suchen,search
verlassen,leave
zeigen,show
wollten,Wanted
lässt,lets
Wort,Word
eins,one
zwischen,between
Woher,From where
Schatz,Treasure
Wissen,Know
versuchen,to try
Können,Can
Kannst,Can
nett,nice
Zu,To
kriegen,get
Geht,Goes
Arsch,Ass
kleinen,Small
Hab,Have
weiss,white
erste,first
läuft,runs
kommst,Come
Freundin,Girlfriend
Mensch,Man
beiden,Two
Ding,Thing
niemals,never
endlich,at last
Nimm,Take
muß,must be
gehst,Go
Heute,Today
denkst,Think
Herz,Heart
Waffe,Weapon
Soll,Debit
tust,Do
Dollar,Dollar
nehme,Take
Schau,Show
holen,get
oft,often
drauf,on it
anderes,Other
Niemand,Nobody
unten,below
Wagen,Car
Yeah,Yes
Schön,Beautiful
wichtig,important
Mrs,Mrs
hättest,Had
allen,All
Miss,Miss
ihrer,hers
gedacht,thought
Nummer,Number
würdest,Would
erzählen,tell
bleibt,stays
Auch,Too
Hände,Hands
Blut,Blood
Sehen,See
bloß,merely
recht,right
bringt,Brings
Bett,Bed
Lassen,Let
Eltern,Parents
gefällt,felled
Schuld,Debt
eure,your
Plan,Plan
Krieg,War
neuen,New
Klar,Clear
retten,save
guter,Good
während,during
ihrem,their
wären,Would
Fehler,Error
scheint,seems
Lasst,Let
gegeben,given
An,At
hör,aural
glücklich,happy
verdammt,damn
alt,old
Platz,Place
darum,therefore
Vielen,Many
falsch,FALSE
unseren,Our
schlafen,sleep
Sagen,Say
nächsten,Next
fünf,five
frei,free
Sorge,Worry
Vor,Before
fest,firm
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,Ask
möglich,possible
irgendwie,somehow
Papa,Dad
lernen,learn
gestern,yesterday
hierher,hither
Schiff,Ship
vier,four
irgendwas,something
Stimmt,Agrees
Menge,Quantity
keiner,none
brauchst,Need
Typen,Types
Dass,That
Stunde,Hour
Szene,Scene
Hölle,Hell
einige,a few
Deshalb,Therefore
geworden,become
Telefon,Telephone
Darf,May
Feuer,Fire
Wollen,To want
Bin,Am
Alter,Age
Captain,Captain
Aus,From
Dieses,This
Probleme,Problems
Jeder,Every
verstanden,understood
wann,when
alten,Old
gibt's,there is
sondern,but
guten,Good
zwar,war
eigenen,Own
New,New
Körper,Body
hört,hears
Zum,To
gebe,Give
Kumpel,Buddy
Hund,Dog
nochmal,again
hab's,got it
früh,early
Hören,Hear
trinken,drink
besten,bests
meines,My
schaffen,create
alte,old woman
Luft,Air
Jemand,Someone
dürfen,may
Meister,Master
Erde,Earth
Seit,Since
Sicher,Sure
Hört,Hears
Zukunft,Future
kaum,hardly
funktioniert,functioned
voll,full
Bleib,Stay
reicht,Ranges
weh,sore
stellen,put
Siehst,See
kleiner,lesser
großen,large
Waffen,Weapons
Büro,Office
Wahl,Election
verlieren,lose
Wochen,Weeks
Damit,In order that
Stück,Piece
lieben,love
allem,All
getroffen,hit
äh,uh
Am,On the
geschafft,Managed
tue,Tue
gefallen,please
Tja,Well
Boss,Boss
überall,everywhere
Sieht,Sees
passieren,happen
lustig,funny
Licht,Light
gebracht,brought
nennen,name
Folge,Consequence
Gefühl,Feeling
völlig,completely
denkt,thinks
Schlüssel,Key
drüben,over there
Richtig,Correct
wieso,why
Leuten,People
Buch,Book
laufen,run
spielt,Plays
früher,earlier
Sein,Be
krank,sick
gegangen,gone
fand,Found
Seine,His
Pass,Pass
fühle,Feel
Himmel,Sky
froh,glad
leicht,light
direkt,direct
langsam,slow
wolltest,Wanted
erinnern,remind
zuerst,first
Krankenhaus,Hospital
Viel,A lot
beste,best
welche,which one
genommen,taken
Arzt,Doctor
unserem,Our
Idiot,Idiot
Machen,Make
glaubst,Do
jede,every
Ohne,Without
groß,big
hattest,Had
Äh,Uh
Jungen,Boys
Rest,Remainder
Unsere,Ours
versuche,try
Tagen,Dawn
nächste,next
Entschuldigen,Excuse
Doktor,Doctor
spricht,speaks
könnt,Can
hält,keeps
Team,Team
Verstanden,Understood
kämpfen,fight
heiraten,marry
könntest,Could
Wow,Wow
Etwas,Something
Straße,Street
Mist,Dung
König,King
redest,'re talking about
kleines,Small
lebt,lives
erklären,explain
worden,Been
Millionen,Millions
Wiedersehen,Reunion
Onkel,Uncle
kennst,Know
sitzen,sit
dies,this
weniger,less
Kaffee,Coffee
ernst,serious
wollt,Want
tragen,carry
Zeug,Stuff
trotzdem,nevertheless
Ihren,Your
kaufen,buy
Liste,List
ändern,change
Kampf,Fight
hasse,Hate
Person,Person
Mund,Mouth
umbringen,kill
Präsident,President
Boden,Soil
Wohin,Where
machte,Made
Party,Party
gefragt,in demand
Seht,See
irgendwo,somewhere
kümmern,concern
kennt,knows
verletzt,injured
Habt,Have
Nachricht,Message
Willkommen,Welcome
vielen,Many
hart,hard
lasse,Leave
total,total
Gefängnis,Prison
außer,except
Sicherheit,Safety
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,interested
Sex,Sex
sagten,Said
ziehen,pull
Welche,Which one
Unser,Our
Augenblick,Moment
angerufen,called
aufhören,stop
Klasse,Class
Bild,Image
stark,strong
Dies,This
Eure,Your
zehn,ten
Sinn,Sense
vorstellen,introduce
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,Asshole
sollst,shalt
gestorben,deceased
Tages,Day
war's,That's it
verschwinden,disappear
Kraft,Force
gesprochen,spoken
heraus,out
genauso,just as
wärst,Were
Eins,One
damals,at that time
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,therefore
Stelle,Place
halt,stop
erwartet,anticipated
solche,such
meisten,most
bringe,Bring
still,quiet
umgebracht,Killed
Stimme,Voice
General,General
Geben,To give
Entschuldige,Sorry
Vergiss,Forget
rede,speech
führen,lead
Bewegung,Movement
höre,Hear
Sonst,Otherwise
Geschäft,Business
werdet,Will
konnten,Could
wartet,waits
Raus,Out
